id,created_at,updated_at,description,category_id,price,type_of_post,animal_id,user_id,title,user_position,,,
40,2019-09-12 10:36:22,2019-09-12 10:36:22,"Elevage Familial de Yorkshire Terrier LOF, vous propose ses chiots nés le20 Mars 2020 , sociabilisés et habitués a la vie de famille , ils ont un (... voir la suite)",1,9,1,1725,5533,Superbe chiots yorkshire lof,Hyères 83400,,,
41,2019-10-11 13:32:51,2019-10-11 13:32:51,Margaux des Coeurs d'Alène a donné naissance à 5 jolis chiots dont elle s'occupe parfaitement bien : une mère calme et attentive pour donner des chiot (... voir la suite),1,15,1,1486,5741,Chiots bouledogue français à réserver,Saint-jean-sur-reyssouze 01560,,,
45,2019-11-24 01:25:35,2019-11-24 01:25:35,"A RÉSERVER : chiots RACE JACK RUSSELL TERRIER LOF , à poil lisse, : Blanc et fauve ou tricolore , Parents LOF confirmés, Les chiots seront identifi (... voir la suite)",1,45,1,12,6779,Adorables chiots jack russell lof,abbeville 95690,,,
46,2019-12-03 15:05:59,2019-12-03 15:05:59,Nés le 5 mars 6 chatons bleus seront disponibles début juin. Papa triple champion Mâles 1100€ femelles 1300€ OBLIGATOIREMENT accueillis par (... voir la suite),1,12,1,947,5364,Magnifiques chatons british shorthair,Rioux 17460,,,
52,2019-02-18 21:10:30,2019-02-18 21:10:30,Nés le 14 février 2020 portée de 4 chiots 3 femelles et 1 mâle 2 femelles et le mâle disponible à partir du 14/04 pucé primo vacciné déparasité. Pa (... voir la suite),1,52,1,234,2852,Chiots léonberg à réserver,Villard-bonnot 38190,,,
57,2019-06-30 07:05:54,2019-06-30 07:05:54,JASPA du HAUT de KOEKING vient d'être saillie par MOUGLY du HAUT de KOEKING. Les naissances sont prévues entre le 30 mai et le 6 Juin 2020. (... voir la suite),1,24,1,780,5215,Saillie en cours,anguimberg 57810,,,
60,2019-10-05 10:40:15,2019-10-05 10:40:15,"Bonjour, Notre papa et notre maman sont testés pour la PKdéf, la HCM & la SMA et suivis par échographies (normales) de leur cœur et leurs reins (... voir la suite)",1,29,1,507,4617,Très beaux chatons maine coon loof,Meigneux 77520,,,
68,2019-02-07 03:41:54,2019-02-07 03:41:54,C'est avec regret que je suis contrainte de rechercher un foyer pour Little-Rock Du Panache d'Or. Il a 4 ans.24 cm . . Trés affectueux il mérite un (... voir la suite),1,14,1,1494,3071,Adulte spitz,Donnemarie-dontilly 77520,,,
71,2019-03-23 06:44:21,2019-03-23 06:44:21,0325296759 pour réserver ces jolis BB nains noirs 3 mâles et 3 femelles vous avez le choix ! Ces jolis chiots vous seront cédés aux alentours du 05 j (... voir la suite),1,24,1,1799,4231,Et voici 6 jolis petits nains noirs 0325296759 pour plus de renseignem,Virey-sous-bar 10260,,,
75,2019-07-12 18:04:24,2019-07-12 18:04:24,"Chiots chihuahua LOF à réserver : 1 femelle marron, tan et blanc 2150 € ( petit gabarit certainement 2kg maxi adulte) 1 femelle Marron et blanc (... voir la suite)",1,16,1,122,2341,Chiots chihuahua femelles poil long lof,e Soler 66270,,,
80,2019-08-22 14:18:05,2019-08-22 14:18:05,"Les bébés de Nita et d'Odyssé sont nés le 14 mars 2020. 3 femelles et 1 male. 2 femelles sont en évaluation. - ROSE,femelle, chocolat tabby ? En e (... voir la suite)",1,59,1,155,7667,Portee 2020 à la chatterie des dunes blanches,Carnoules 83660,,,
87,2019-06-06 18:01:52,2019-06-06 18:01:52,"Apparence Chihuahua Mâle reproducteur né le 04/10/2017 Joy est d'une robe chocolat total, petit gabarit, truffe chocolat!!! D'un caractère très (... voir la suite)",1,7,1,884,7215,Apparence chihuahua male,Non L.O.F.La Bréole 04340,,,
90,2019-10-28 05:02:02,2019-10-28 05:02:02,très beau mâle bien typé fauve et blanc poil long : 1400 € Vous pouvez nous demander par mail ou par téléphone des renseignements sur nos chiots né (... voir la suite),1,7,1,1455,2056,Chihuahua poil long,Saint-vitte 18360,,,
94,2019-10-17 06:58:36,2019-10-17 06:58:36,"Issus du mariage de Mohely Des Sables d'Yon , Grand Champion D'Europe & de Mïa Des Rêves d'Azuli, Championne, 7chatons sont nés le 7 mars dernier. 1 (... voir la suite)",1,26,1,1882,4306,Chatons à réserver,Donnemarie-dontilly 77520,,,
96,2019-01-07 06:03:56,2019-01-07 06:03:56,Ogustin carlin sable masque noir LOF sterilisé 2 ans , il vit dans la maison donc parfaitement propre et sociabilisé , de caractère moyen = ni exc (... voir la suite),1,10,1,1141,7819,Carlin sable lof à vendre pour retraite heureuse,Veyras 07000,
98,2019-04-10 05:44:13,2019-04-10 05:44:13,"Je m'appelle PACO DE LA PLUME D'ARGENT, je suis né le 2 décembre 2019. Je suis issu du mariage de : LOVELY de la PLUME D'ARGENT cotée 4 Recommandé, (... voir la suite)",1,19,1,528,5390,Vends chiot korthals 4 mois,Grenoble 38100,,,
100,2019-11-08 06:40:47,2019-11-08 06:40:47,à vendre pour retraite heureuse Indy carlin sable masque noir LOF stérilisée de 6 ans , elle est en bonne santé , vit dans la maison donc parfait (... voir la suite),1,25,1,1608,4949,Femelle carlin lof à vendre pour retraite heureuse,Veyras 07000,
102,2019-12-24 15:44:27,2019-12-24 15:44:27,"La chatterie du soleil de james (élevage professionnel dans les hauts de France) A la joie de vous annoncer la naissance de 3 femelles ,et 2 mâles (... voir la suite)",1,32,1,205,6459,Chatons chartreux loof,Saint-omer 62500,,,
105,2019-11-14 02:13:58,2019-11-14 02:13:58,"En Bourgogne 03 Chiot Husky Sibérien sont nés le 20 mars 2020 . Il seront vermifugés , vaccinés CHPL et identifiés par puce électronique . Il sero (... voir la suite)",1,12,1,264,5841,"En bourgogne , chiots husky à réserver",Autun 71400,,,
107,2019-06-13 23:48:28,2019-06-13 23:48:28,"très belle portée de 7 chiots poil long : mâle 1400 € femelle 1600 €, Vous pouvez nous demander par mail ou par téléphone des renseignements sur n (... voir la suite)",1,32,1,1027,5566,Chihuahua poil long,Saint-vitte 18360,,,
111,2019-03-26 05:51:43,2019-03-26 05:51:43,mâle noir et blanc 1400 € Vous pouvez nous demander par mail ou par téléphone des renseignements sur nos chiots nés ou à venir. D'autres portées so (... voir la suite),1,27,1,65,3786,Chihuahua poil long,Saint-vitte 18360,,,
113,2019-11-30 17:33:06,2019-11-30 17:33:06,"A réserver, petit lévrier italien, née le 22 mars , disponible à partir du 22 mais. Portée de deux chiots, un mâle et une femelle. Disponible une fe (... voir la suite)",1,22,1,1002,4631,Petit lévrier italien,e Mage 61290,,,
115,2019-05-24 01:23:09,2019-05-24 01:23:09,A réserver chaton exotic shorthair (persan poil court) et chaton persan. née 06 mars 25 mars et 27 mars 2020. 1 femelle exotic shorthair blue tor (... voir la suite),1,15,1,1216,4113,A réserver superbe chatons exotic shorthair persan loof,Mont-de-marsan 40000,,,
119,2019-09-01 07:56:53,2019-09-01 07:56:53,2 mâles : un chocolat et feu + blanc 1400 € + 1 femelle noir et feu 1600 € Vous pouvez nous demander par mail ou par téléphone des renseignements s (... voir la suite),1,21,1,837,5883,Chihuahua poil long,Saint-vitte 18360,,,
120,2019-04-14 18:17:41,2019-04-14 18:17:41,"Petit élevage familial nos chiens (carlin et shihtzu) vivent dans la maison pas en box. Le shih tzu est ma grande passion depuis 27 ans, ce petit ch (... voir la suite)",1,29,1,876,7515,à réserver chiot shih tzu lof excellent pedigree,Veyras 07000,,,
122,2019-08-27 13:05:30,2019-08-27 13:05:30,3 femelles poil long à réserver 1600 € noir & blanc - chocolat et blanc - fauve masque noir Vous pouvez nous demander par mail ou par téléphone des (... voir la suite),1,7,1,1429,4711,Chihuahua poil long,Saint-vitte 18360,,,
126,2019-05-10 02:56:36,2019-05-10 02:56:36,à réserver deux petites femelle CARLIN couleur sable masque noir très bon pedigree : inscrites au LOF. Très beau physique bien COB , jolis plis d (... voir la suite),1,19,1,1236,5033,A reserver magnifique femelles carlin lof de 2 mois,Veyras 07000,,
128,2019-08-30 02:56:27,2019-08-30 02:56:27,"à réserver 2 mâles : 1 noir et feu, 1 fauve 1400 € + 1 femelle fauve : 1600 € vous pouvez voir sur mon site plus de photos des chiots à résever, d' (... voir la suite)",1,22,1,469,3248,Chiot chihuahua poil court,Saint-vitte 18360,,,
132,2019-12-01 02:06:42,2019-12-01 02:06:42,Disponibles magnifiques chiots Berger Australien élevés et socialisés en famille nés le 02/03/2020. Notre sélection est basé sur le respect du stan (... voir la suite),1,21,1,1173,2240,Portée exceptionnelle berger australiens lof élevés en famille !,Rians 83560,,,
135,2019-10-20 10:13:24,2019-10-20 10:13:24,Disponibles à la réservation : Splendide mâle poils long de couleur blanc avec les tâches chocolates. Petit gabarit. Né avec un poids de 106 grammes (... voir la suite),1,14,1,1308,6591,Magnifiques chiots chihuahua lof,Cagnes-sur-mer 06800,,,
137,2019-02-27 21:19:28,2019-02-27 21:19:28,'Djesy' Née le 25/10/2014 Femelle d'une robe tan total poil court Génétiquement elle est porteuse de noir et tan Djesy est une femelle très cal (... voir la suite),1,32,1,595,6562,Apparence chihuahua femelle,Non L.O.F.La Bréole 04340,,,
141,2019-02-07 09:31:48,2019-02-07 09:31:48,Petit Mâle d'apparence CHIHUAHUA - Robe noire et tan avec plastron blanc - Né le 15/11/2019- d'un caractère joyeux dynamique joueur et très affectueu (... voir la suite),1,40,1,1178,3757,Apparence chihuahua male,Non L.O.F.La Bréole 04340,,,
142,2019-07-24 14:28:59,2019-07-24 14:28:59,"Après échographie de contrôle les bébés de (CHAMPIONNE DE CONFORMITE AU STANDARD, Trialer Printemps - Trialer Automne, Recommandée, 4 points) Maddy du (... voir la suite)",1,27,1,827,3992,Superbes chiots à réserver,Daumazan-sur-arize 09350,,,
145,2019-04-05 17:02:57,2019-04-05 17:02:57,a réserver 4 chiots buldog anglais nés le 14 février 2020 2 femelles fauve et blanche (2000 euros) 2 mâles (1850 euros) dont 1 blanc et fauve et 1 (... voir la suite),1,44,1,1945,2440,A réserver 4 chiots buldog anglais,arges-allichamps 18200,,,
146,2019-08-22 03:24:10,2019-08-22 03:24:10,Vends 3 mâles et 3 femelles berger alemand inscrit au lof nés le 01/02/2020 disponible de suite ils sont pucés et vaccinés avec certificat vétérin (... voir la suite),1,51,1,179,5518,Chiots berger allemand lof,Bâlines 27130,,,
151,2019-09-14 22:36:29,2019-09-14 22:36:29,A réserver chiots apparence bouvier bernois 3 ème génération dans la ferme nés le 15 janvier 2020 Mère non lof ID 250268712516201 Père LO (... voir la suite),1,12,1,1461,3486,A réserver chiots apparence bouvier bernois,Villeneuve-sur-lot 47300,,,
153,2019-04-23 07:01:37,2019-04-23 07:01:37,"Magnifique Main Coon âge de 1 an, avec pedigree ce jeune chat a remporter de nombreux prix internationaux et a recu notamment la 1ere place chez les j (... voir la suite)",1,39,1,461,6446,Recherche femelle main coon pour saillie,Metz 57070,,,
155,2019-03-31 23:40:27,2019-03-31 23:40:27,"Nous attendons dans les prochains jours les petits chatons de Titi, de son vrai nom Latigun Nefertiti Main Coon LOOF de couleur Black Tortie et Blanc (... voir la suite)",1,4,1,855,6159,Première portée de titi,Pfastatt 68120,,,
156,2019-06-16 19:10:16,2019-06-16 19:10:16,Revlon des petites merveilles d’aurore Sublime tout petit garçon de couleur lavande yeux bleu Tout petit gabarit 1kg600 adulte environ Un sub (... voir la suite),1,7,1,713,5131,Chihuahua lof lavande,Gratentour 31150,,,
160,2019-02-11 03:40:22,2019-02-11 03:40:22,"A réserver, chiots schnauzer nain poivre et sel LOF nés le 21 mars 2020 Portée de 6 chiots, 3 mâles et 3 femelles. Mère n° d'identification : 250269 (... voir la suite)",1,18,1,1627,5850,Chiots schnauzer nain poivre et sel,Samer 62830,,,
163,2019-07-03 21:19:11,2019-07-03 21:19:11,"Suivez photos et vidéos publiées régulièrement sur notre site Chatterie du Chti Chat Malo 2 mâles Bengal LOOF nés le 20 février 2020, dispo à part (... voir la suite)",1,25,1,1399,6510,Chatons bengal loof,Saint-sylvestre-cappel 59114,,,
166,2019-03-26 01:35:40,2019-03-26 01:35:40,"Les premières photos sont issues d'une portée précédente pour donner une idée de ce que deviennent nos chiots... Plus d'info , photos et vidéos sur (... voir la suite)",1,50,1,1668,7106,Chiot basset hound lof,Saint-sylvestre-cappel 59114,,,
168,2019-09-26 18:47:23,2019-09-26 18:47:23,Dora de son vrai nom Nymphadora du Domaine de Locus a été saillie par Max du Hirtzklee il y a 10 jours Nous espérons avoir une portée d'ici 2 moi (... voir la suite),1,46,1,849,7574,Saillie de dora,Pfastatt 68120,,,
170,2019-04-12 13:10:40,2019-04-12 13:10:40,"A réserver bergers americains miniatures, nés le 6 mars 2020 Renoir et Ray Ban, males, noir tricolore, 1400€ R2D2, male, rouge merle, 1600€ Reggae, (... voir la suite)",1,13,1,1033,7884,Chiots berger americain miniature,Nébouzat 63210,,,
171,2019-02-28 08:54:13,2019-02-28 08:54:13,Chiots Bouledogue français inscrits au LOF 1 mâle et 5 femelles fauve rouge et caille fauve rouge N° portée LOF2020007535 Nos BB seront parfaite (... voir la suite),1,26,1,66,4520,Chiots bouledogue français lof,Saint-sylvestre-cappel 59114,,,
175,2019-07-25 03:47:25,2019-07-25 03:47:25,"Nous avons eu des naissances le 25 février. Avec le mariage de Oups - Orion 3 MAGNIFIQUES CHATONS : - Ramsès, mâle Seal point DISPONIBLE - R (... voir la suite)",1,24,1,783,4737,Chaton ragdoll disponible a la reservation,Sigonce 04300,,,
178,2019-05-20 20:34:46,2019-05-20 20:34:46,"Réglisse est un magnifique petit mâle tricolore, porteur de sable (color test fait chez genindexe) testicules en place, dents 6x6 en ciseau. Il est (... voir la suite)",1,12,1,1244,3056,Petit mâle poils longs,Mirandol-bourgnounac 81190,,,
180,2019-10-31 21:43:00,2019-10-31 21:43:00,"A réserver chiots carlins noirs et Fauves masqués noirs. Elevage familial, sociabilisation des chiots. Les chiots seront vendus puçés , vaccinés, ve (... voir la suite)",1,27,1,538,5996,Portée prévue avril 2020,Brévainville 41160,,,
181,2019-02-03 20:49:52,2019-02-03 20:49:52,"A vendre 4 chiots cavaliers king charles mâles nés le: 10/02/2020, couleur tricolores Disponible pour le: 13/04/2020 Prix: 1000€ Puçés et vacciné (... voir la suite)",1,5,1,436,5996,Chiots cavaliers king charles,Péret 34800,,,
183,2019-02-24 06:20:04,2019-02-24 06:20:04,Portée de EMEISHAN OF SIBERIAN COUNTRY LOF 81116/14404 Identification: 643094800035650 et BLOODSNOW NEVADA'S GOLD HUNTER. LOF 74676/11069 Identifica (... voir la suite),1,40,1,774,3951,Chiots siberian husky a vendre,eucate 11370,,,
185,2019-02-02 06:54:47,2019-02-02 06:54:47,"Femelle savannah f2 de 6 ans entière, inscrite au loof et à la Tica avec pedigree. Attention ! de part sa taille et sa basse génération, elle n'est (... voir la suite)",1,43,1,932,6572,Femelle savannah f2,Villers-sur-le-roule 27940,,,
186,2019-11-12 14:08:54,2019-11-12 14:08:54,Chiots setter Gordon mâle de Nyls du Vallon de Chavagneux et Inès du Clos de la Capitainerie. (... voir la suite),1,16,1,1625,7029,A réserver chiots setter gordon mâles,Availles-limouzine 86460,,,
188,2019-11-29 19:40:38,2019-11-29 19:40:38,La chatterie fashion bengal vous propose de réserver 7 chatons une femelle silver une femelle brown charcoal deux femelles silver charcoal un mâ (... voir la suite),1,4,1,650,5087,Bengal loof,a Ferté-hauterive 03340,,,
190,2019-06-04 15:59:55,2019-06-04 15:59:55,"La Croix de Saint Martin. Très belles origines pour cette première portée de Nassau. 6 chiots, 4 mâles et 2 femelles, seront disponibles à partir du (... voir la suite)",1,16,1,1962,5381,Chiots cocker spaniel anglais - lof,Espinasse-vozelle 03110,,,
191,2019-01-30 08:12:11,2019-01-30 08:12:11,La chatterie du Domaine de Douce vous propose 1 femelle siamoise adulte LOOF. Ipanema de l'aurore australe dites Ibiza N°d'identification: 250268711 (... voir la suite),1,47,1,582,3238,Femelle siamoise thaï adulte loof,Saint-germain-du-pinel 35370,,,
192,2019-02-17 01:50:45,2019-02-17 01:50:45,"Une portée de Leonberg est née le 18/03/2020 : 4 mâles et 2 femelles. Les réservations débutent. Les chiots quitteront l'élevage LOF, identifiés par (... voir la suite)",1,40,1,569,2431,Chiots leonberg lof,Molas 31230,,,
195,2019-09-07 15:48:14,2019-09-07 15:48:14,"je m' appelle MAY I KISS YOU PUNCHLINE je suis un JEUNE MÂLE exotic shorthair de couleur BLUE TABBY ET BLANC ,,, TRÈS DOUX ET TRÈS AIMANT un (... voir la suite)",1,52,1,1785,2235,Exotic shorthair male,illé 72210,,,
197,2019-11-20 06:29:57,2019-11-20 06:29:57,MAGNIFIQUES CHIOTS BERGERS BELGES MALINOIS 5 MALES 6 FEMELLES DISPONIBLES VERS LE 08/04/2020 * identifiés par transpondeur électronique * vacciné (... voir la suite),1,14,1,1369,7133,Chiots bergers belges malinois de helipse,a Fouillouse 42480,,,
198,2019-04-26 10:51:12,2019-04-26 10:51:12,"Bonjour, L’élevage des petits trésors d’azur vous propose à la réservation deux splendides mâles chihuahua LOF nés le 17/03/2020: 1 mâle noir (... voir la suite)",1,26,1,1361,2180,Sublimes chiots chihuahua lof,e Thoronet 83340,,,
200,2019-08-02 13:00:28,2019-08-02 13:00:28,Naissances de 6 chatons le 22 mars 2020 Bengal Loof née du mariage de Orea (très jolie petite femelle Bengal seal tabby mink aux yeux verts) et de Nic (... voir la suite),1,15,1,525,6281,Chaton bengal loof à vendre,Pré-en-pail 53140,,,
201,2019-01-17 02:18:06,2019-01-17 02:18:06,"A réserver chiots berger allemand poils longs LOF Nés le 03 mars 2020 ,portée de 7 chiots ( 5 mâles et 2 femelles) Mère: OPIUM de l'aube des loups (... voir la suite)",1,23,1,237,7765,Chiot berger allemand lof poils longs,Bourdeilles 24310,,,
204,2019-01-19 07:11:31,2019-01-19 07:11:31,"5 chatons Maine Coon sont nés le 1er mars 2020 (1 mâle et 4 femelles ), ils sont disponibles à la réservation et pourront rejoindre leur nouvelle fami (... voir la suite)",1,24,1,161,5269,5 chatons maine coon disponibles à la réservation,Sartrouville 78500,,,
205,2019-01-24 20:30:31,2019-01-24 20:30:31,"je m' appelle MAY I KISS YOU PUR SATIN , je suis une petite femelle exotic shorthair de couleur crème et blanche ,,, petit gabarit,,,, très dou (... voir la suite)",1,1,1,595,6716,Exotic shorthair femelle,illé 72210,,,
207,2019-01-28 06:21:13,2019-01-28 06:21:13,"3 magnifique petits mâles, Maman grande championne d'Europe de beauté, Papa champion du Monde ! Elevage familial, visite possible, prendre rendez-vo (... voir la suite)",1,5,1,1680,7300,Super bleu russe,réjus 83600,,,
208,2019-01-19 15:10:22,2019-01-19 15:10:22,Ma belle nala fait ces chatons ce 21 mars disponibles a la réservation 3 petites femelles et un male les couleurs attendues sont bleu chocolat lilac (... voir la suite),1,18,1,1182,2171,Superbes chatons sacres de birmanie,Chambéry 73000,,,
210,2019-01-13 16:56:47,2019-01-13 16:56:47,CHIOT YORKSHIRE TERRIER TOUT PETIT GABARIT QUEUE ECOURTEE Nez court et Petites Oreilles Court sur pattes Poils Très fourni petites oreilles ** (... voir la suite),1,30,1,1194,4679,York toy excellente origines de beautee lof,Chevru 77320,,,
211,2019-01-23 23:01:41,2019-01-23 23:01:41,"Elevage familial situé dans les Hautes Pyrénées Tous mes westies sont LOF, vaccinés et identifiés par puce électronique, socialisés. Ils partiron (... voir la suite)",1,28,1,1290,2316,West highland white terrier,abastide 65130,,,
213,2019-10-14 23:42:57,2019-10-14 23:42:57,Beau mariage de Gaspacho du Domaine des Cotières et de Limbé de La Petite Océane qui a donné naissance à 2 chiots (1 mâle noi et feu et 1 femelle noi (... voir la suite),1,19,1,657,7252,Magnifiques petits brabançon,Romagny 50140,,,
215,2019-05-16 14:16:02,2019-05-16 14:16:02,"Disponibles pour fin mai / début juin Roméo, mâle black silver shaded Romane, femelle broown spotted tabby Ces adorables chatons quitteront la ch (... voir la suite)",1,3,1,1032,7102,Persans silver et golden,ambesc 13410,,,
216,2019-01-21 14:09:37,2019-01-21 14:09:37,"Il reste 2 femelles à réserver. Mes Tchoupis sont nés le 20 03 2020. 8 beaux bbs (2 femelles et 6 mâles) Inscrits LOF, ils seront pucés et vaccin (... voir la suite)",1,45,1,174,7171,Chiots staffies - staffordshire bull terriers à réserver,Pau 64000,,,
217,2019-04-30 07:47:20,2019-04-30 07:47:20,5 sublimes chatons argentés RECHERCHENT une famille aimante. Ils sont bébés et nous saurons qui est fold ou straight à partir du 21 avril. Mais je pe (... voir la suite),1,9,1,824,4538,Merveilleuse chatonne black golden tabby,Glisy 80440,,,
220,2019-07-14 21:14:34,2019-07-14 21:14:34,Réservations ouvertes sur notre prochaine portée. Naissances prévues la semaine 17. Les chiots seront disponibles a 9 semaines. Issus de parents LOF (... voir la suite),1,57,1,1337,4715,Chiots lof à réserver,Paris 75008,,,
222,2019-05-29 04:04:17,2019-05-29 04:04:17,ELEVAGE DE SÉLECTION 3 ème MEILLEUR ELEVAGE AUX PALMARES DU CLUB DE RACE MEMBRE DU CLUB DE RACE DU BERGER BELGE DEPUIS 2003 suivi et conseils de (... voir la suite),1,10,1,1314,7362,Chiot berger belge tervueren,ourques 30300,,,
225,2019-09-24 01:23:02,2019-09-24 01:23:02,"NERO est un jeune chien plein de fougue qui ne demande qu'à travailler, il est allé en débourrage chez B. HYTIER (dresseur professionnel) au cours de (... voir la suite)",1,8,1,947,6823,Drahthaar mâle adulte débourré,anguimberg 57810,,,
227,2019-06-17 19:30:44,2019-06-17 19:30:44,Nous recherchons une famille digne de ce nom pour notre adorable petit Bloom. Il s'agit d'un mâle British Longhair Black Silver Shaded âgé de 20 mo (... voir la suite),1,51,1,554,7874,Bloom à la recherche d'une famille pour la vie !,yon 69004,,,
231,2019-11-06 21:20:39,2019-11-06 21:20:39,"5 Adorables chiots carlins L.O.F, garantie pure race, vaccinés, pucés, certificat de bonne santé.inscrits au L.O.F. ils sont élevés en famille avec a (... voir la suite)",1,44,1,679,7619,Superbes carlins lof,ille 59000,,,
